GENERATION_PROJECT	build_year	gen_predetermined_cap
Wells_Conventional_Gas	2014	5355.054903
Wells_Conventional_Gas	2015	3392.469336
Wells_Conventional_Gas	2016	2248.562321
Wells_Conventional_Gas	2017	553.7294991
Wells_Conventional_Oil	1976	4450
Wells_Conventional_Oil	1977	8542
Wells_Conventional_Oil	1978	12889
Wells_Conventional_Oil	1979	7145
Wells_Conventional_Oil	1980	4455
Wells_Conventional_Oil	1981	5371
Wells_Conventional_Oil	1982	4978
Wells_Conventional_Oil	1983	4502
Wells_Conventional_Oil	1984	5235
Wells_Conventional_Oil	1985	4876
Wells_Conventional_Oil	1986	5015
Wells_Conventional_Oil	1987	12730
Wells_Conventional_Oil	1988	2919
Wells_Conventional_Oil	1989	2358
Wells_Conventional_Oil	1990	3102
Wells_Conventional_Oil	1991	4153
Wells_Conventional_Oil	1992	2358
Wells_Conventional_Oil	1993	2803
Wells_Conventional_Oil	1994	2501
Wells_Conventional_Oil	1995	2585
Wells_Conventional_Oil	1996	2882
Wells_Conventional_Oil	1997	5060
Wells_Conventional_Oil	1998	2515
Wells_Conventional_Oil	1999	2471
Wells_Conventional_Oil	2000	3296
Wells_Conventional_Oil	2001	3131
Wells_Conventional_Oil	2002	2809
Wells_Conventional_Oil	2003	3392
Wells_Conventional_Oil	2004	3586
Wells_Conventional_Oil	2005	4398
Wells_Conventional_Oil	2006	5003
Wells_Conventional_Oil	2007	5098
Wells_Conventional_Oil	2008	6999
Wells_Conventional_Oil	2009	4901
Wells_Conventional_Oil	2010	7345
Wells_Conventional_Oil	2011	8356
Wells_Conventional_Oil	2012	7782
Wells_Conventional_Oil	2013	7392
Wells_Conventional_Oil	2014	6757
Wells_Conventional_Oil	2015	3535
Wells_Conventional_Oil	2016	1834
Wells_Conventional_Oil	2017	338
Wells_Shale_Gas	2003	2805
Wells_Shale_Gas	2004	5530
Wells_Shale_Gas	2005	8020
Wells_Shale_Gas	2006	12591
Wells_Shale_Gas	2007	23290
Wells_Shale_Gas	2008	33050
Wells_Shale_Gas	2009	27796
Wells_Shale_Gas	2010	37832
Wells_Shale_Gas	2011	46778
Wells_Shale_Gas	2012	42948
Wells_Shale_Gas	2013	38699
Wells_Shale_Gas	2014	34423
Wells_Shale_Gas	2015	24210
Wells_Shale_Gas	2016	14174
Wells_Shale_Gas	2017	3474
Wells_Shale_Oil	2007	2827
Wells_Shale_Oil	2008	5154
Wells_Shale_Oil	2009	3452
Wells_Shale_Oil	2010	10086
Wells_Shale_Oil	2011	15186
Wells_Shale_Oil	2012	22520
Wells_Shale_Oil	2013	22295
Wells_Shale_Oil	2014	23190
Wells_Shale_Oil	2015	16561
Wells_Shale_Oil	2016	10409
Wells_Shale_Oil	2017	3043
Wells_Offshore_Gas	1976	1383
Wells_Offshore_Gas	1977	1212
Wells_Offshore_Gas	1978	1414
Wells_Offshore_Gas	1979	1026
Wells_Offshore_Gas	1980	1088
Wells_Offshore_Gas	1981	1492
Wells_Offshore_Gas	1982	1399
Wells_Offshore_Gas	1983	1539
Wells_Offshore_Gas	1984	1445
Wells_Offshore_Gas	1985	1259
Wells_Offshore_Gas	1986	1306
Wells_Offshore_Gas	1987	995
Wells_Offshore_Gas	1988	1135
Wells_Offshore_Gas	1989	1150
Wells_Offshore_Gas	1990	1274
Wells_Offshore_Gas	1991	855
Wells_Offshore_Gas	1992	839
Wells_Offshore_Gas	1993	1492
Wells_Offshore_Gas	1994	1725
Wells_Offshore_Gas	1995	2145
Wells_Offshore_Gas	1996	2596
Wells_Offshore_Gas	1997	2533
Wells_Offshore_Gas	1998	1803
Wells_Offshore_Gas	1999	2285
Wells_Offshore_Gas	2000	3466
Wells_Offshore_Gas	2001	3683
Wells_Offshore_Gas	2002	2471
Wells_Offshore_Gas	2003	1912
Wells_Offshore_Gas	2004	2533
Wells_Offshore_Gas	2005	2005
Wells_Offshore_Gas	2006	2052
Wells_Offshore_Gas	2007	2098
Wells_Offshore_Gas	2008	2145
Wells_Offshore_Gas	2009	1430
Wells_Offshore_Gas	2010	1601
Wells_Offshore_Gas	2011	1632
Wells_Offshore_Gas	2012	2020
Wells_Offshore_Gas	2013	1818
Wells_Offshore_Gas	2014	2254
Wells_Offshore_Gas	2015	1088
Wells_Offshore_Gas	2016	389
Wells_Offshore_Gas	2017	124
Wells_Offshore_Oil	1976	1686
Wells_Offshore_Oil	1977	1477
Wells_Offshore_Oil	1978	1723
Wells_Offshore_Oil	1979	1250
Wells_Offshore_Oil	1980	1326
Wells_Offshore_Oil	1981	1818
Wells_Offshore_Oil	1982	1704
Wells_Offshore_Oil	1983	1875
Wells_Offshore_Oil	1984	1761
Wells_Offshore_Oil	1985	1534
Wells_Offshore_Oil	1986	1591
Wells_Offshore_Oil	1987	1212
Wells_Offshore_Oil	1988	1383
Wells_Offshore_Oil	1989	1401
Wells_Offshore_Oil	1990	1553
Wells_Offshore_Oil	1991	1042
Wells_Offshore_Oil	1992	1023
Wells_Offshore_Oil	1993	1818
Wells_Offshore_Oil	1994	2102
Wells_Offshore_Oil	1995	2614
Wells_Offshore_Oil	1996	3163
Wells_Offshore_Oil	1997	3087
Wells_Offshore_Oil	1998	2197
Wells_Offshore_Oil	1999	2784
Wells_Offshore_Oil	2000	4223
Wells_Offshore_Oil	2001	4488
Wells_Offshore_Oil	2002	3011
Wells_Offshore_Oil	2003	2329
Wells_Offshore_Oil	2004	3087
Wells_Offshore_Oil	2005	2443
Wells_Offshore_Oil	2006	2500
Wells_Offshore_Oil	2007	2557
Wells_Offshore_Oil	2008	2614
Wells_Offshore_Oil	2009	1742
Wells_Offshore_Oil	2010	1951
Wells_Offshore_Oil	2011	1989
Wells_Offshore_Oil	2012	2462
Wells_Offshore_Oil	2013	2216
Wells_Offshore_Oil	2014	2746
Wells_Offshore_Oil	2015	1326
Wells_Offshore_Oil	2016	473
Wells_Offshore_Oil	2017	152
Mines_Coal_Underground	1976	6552
Mines_Coal_Underground	1977	6552
Mines_Coal_Underground	1978	6552
Mines_Coal_Underground	1979	6552
Mines_Coal_Underground	1980	6552
Mines_Coal_Underground	1981	6552
Mines_Coal_Underground	1982	6552
Mines_Coal_Underground	1983	6552
Mines_Coal_Underground	1984	10459
Mines_Coal_Underground	1985	64
Mines_Coal_Underground	1986	227
Mines_Coal_Underground	1987	116
Mines_Coal_Underground	1988	0
Mines_Coal_Underground	1989	0
Mines_Coal_Underground	1990	6451
Mines_Coal_Underground	1991	3705
Mines_Coal_Underground	1992	264
Mines_Coal_Underground	1993	3172
Mines_Coal_Underground	1994	1590
Mines_Coal_Underground	1995	17
Mines_Coal_Underground	1996	1231
Mines_Coal_Underground	1997	239
Mines_Coal_Underground	1998	3446
Mines_Coal_Underground	1999	505
Mines_Coal_Underground	2000	2076
Mines_Coal_Underground	2001	3574
Mines_Coal_Underground	2002	618
Mines_Coal_Underground	2003	1711
Mines_Coal_Underground	2004	2033
Mines_Coal_Underground	2005	4501
Mines_Coal_Underground	2006	7484
Mines_Coal_Underground	2007	3713
Mines_Coal_Underground	2008	1578
Mines_Coal_Underground	2009	9590
Mines_Coal_Underground	2010	15776
Mines_Coal_Underground	2011	9586
Mines_Coal_Underground	2012	1676
Mines_Coal_Underground	2013	4123
Mines_Coal_Underground	2014	6324
Mines_Coal_Underground	2015	2731
Mines_Coal_Surface	1976	19285
Mines_Coal_Surface	1977	19285
Mines_Coal_Surface	1978	19285
Mines_Coal_Surface	1979	19285
Mines_Coal_Surface	1980	19285
Mines_Coal_Surface	1981	19285
Mines_Coal_Surface	1982	19285
Mines_Coal_Surface	1983	19285
Mines_Coal_Surface	1984	3130
Mines_Coal_Surface	1985	89163
Mines_Coal_Surface	1986	932
Mines_Coal_Surface	1987	108
Mines_Coal_Surface	1988	0
Mines_Coal_Surface	1989	422
Mines_Coal_Surface	1990	6781
Mines_Coal_Surface	1991	18
Mines_Coal_Surface	1992	2
Mines_Coal_Surface	1993	75
Mines_Coal_Surface	1994	260
Mines_Coal_Surface	1995	99
Mines_Coal_Surface	1996	33
Mines_Coal_Surface	1997	571
Mines_Coal_Surface	1998	3010
Mines_Coal_Surface	1999	1885
Mines_Coal_Surface	2000	1737
Mines_Coal_Surface	2001	161
Mines_Coal_Surface	2002	390
Mines_Coal_Surface	2003	214
Mines_Coal_Surface	2004	4411
Mines_Coal_Surface	2005	5495
Mines_Coal_Surface	2006	2220
Mines_Coal_Surface	2007	570
Mines_Coal_Surface	2008	5201
Mines_Coal_Surface	2009	6732
Mines_Coal_Surface	2010	7938
Mines_Coal_Surface	2011	2277
Mines_Coal_Surface	2012	2049
Mines_Coal_Surface	2013	2307
Mines_Coal_Surface	2014	4030
Mines_Coal_Surface	2015	541
NonHawaii_Coal_railroad	1980	10531
NonHawaii_Coal_railroad	1981	8191
NonHawaii_Coal_railroad	1982	6075
NonHawaii_Coal_railroad	1983	7449
NonHawaii_Coal_railroad	1984	9757
NonHawaii_Coal_railroad	1985	11167
NonHawaii_Coal_railroad	1986	8911
NonHawaii_Coal_railroad	1987	7170
NonHawaii_Coal_railroad	1988	8584
NonHawaii_Coal_railroad	1989	8324
NonHawaii_Coal_railroad	1990	7878
NonHawaii_Coal_railroad	1991	7200
NonHawaii_Coal_railroad	1992	7394
NonHawaii_Coal_railroad	1993	8356
NonHawaii_Coal_railroad	1994	9569
NonHawaii_Coal_railroad	1995	11501
NonHawaii_Coal_railroad	1996	11496
NonHawaii_Coal_railroad	1997	11609
NonHawaii_Coal_railroad	1998	13188
NonHawaii_Coal_railroad	1999	11966
NonHawaii_Coal_railroad	2000	10690
NonHawaii_Coal_railroad	2001	9377
NonHawaii_Coal_railroad	2002	9630
NonHawaii_Coal_railroad	2003	9766
NonHawaii_Coal_railroad	2004	10123
NonHawaii_Coal_railroad	2005	10040
NonHawaii_Coal_railroad	2006	12884
NonHawaii_Coal_railroad	2007	13596
NonHawaii_Coal_railroad	2008	14884
NonHawaii_Coal_railroad	2009	14379
NonHawaii_Coal_railroad	2010	13951
NonHawaii_Coal_railroad	2011	16229
NonHawaii_Coal_railroad	2012	18512
NonHawaii_Coal_railroad	2013	17726
NonHawaii_Coal_railroad	2014	20125
NonHawaii_Coal_railroad	2015	22867
NonHawaii_Coal_railroad	2016	17905
NonHawaii_OilPipeline_Onshore	1955	43452.85741
NonHawaii_OilPipeline_Onshore	1956	43452.85741
NonHawaii_OilPipeline_Onshore	1957	43452.85741
NonHawaii_OilPipeline_Onshore	1958	43452.85741
NonHawaii_OilPipeline_Onshore	1959	43452.85741
NonHawaii_OilPipeline_Onshore	1960	43452.85741
NonHawaii_OilPipeline_Onshore	1961	43452.85741
NonHawaii_OilPipeline_Onshore	1962	43452.85741
NonHawaii_OilPipeline_Onshore	1963	43452.85741
