timepoint_id	timestamp	timeseries
2017012600	2017-01-26-00:00	20170126
2017012602	2017-01-26-02:00	20170126
2017012604	2017-01-26-04:00	20170126
2017012606	2017-01-26-06:00	20170126
2017012608	2017-01-26-08:00	20170126
2017012610	2017-01-26-10:00	20170126
2017012612	2017-01-26-12:00	20170126
2017012614	2017-01-26-14:00	20170126
2017012616	2017-01-26-16:00	20170126
2017012618	2017-01-26-18:00	20170126
2017012620	2017-01-26-20:00	20170126
2017012622	2017-01-26-22:00	20170126
2017022600	2017-02-26-00:00	20170226
2017022602	2017-02-26-02:00	20170226
2017022604	2017-02-26-04:00	20170226
2017022606	2017-02-26-06:00	20170226
2017022608	2017-02-26-08:00	20170226
2017022610	2017-02-26-10:00	20170226
2017022612	2017-02-26-12:00	20170226
2017022614	2017-02-26-14:00	20170226
2017022616	2017-02-26-16:00	20170226
2017022618	2017-02-26-18:00	20170226
2017022620	2017-02-26-20:00	20170226
2017022622	2017-02-26-22:00	20170226
2017032600	2017-03-26-00:00	20170326
2017032602	2017-03-26-02:00	20170326
2017032604	2017-03-26-04:00	20170326
2017032606	2017-03-26-06:00	20170326
2017032608	2017-03-26-08:00	20170326
2017032610	2017-03-26-10:00	20170326
2017032612	2017-03-26-12:00	20170326
2017032614	2017-03-26-14:00	20170326
2017032616	2017-03-26-16:00	20170326
2017032618	2017-03-26-18:00	20170326
2017032620	2017-03-26-20:00	20170326
2017032622	2017-03-26-22:00	20170326
2017042600	2017-04-26-00:00	20170426
2017042602	2017-04-26-02:00	20170426
2017042604	2017-04-26-04:00	20170426
2017042606	2017-04-26-06:00	20170426
2017042608	2017-04-26-08:00	20170426
2017042610	2017-04-26-10:00	20170426
2017042612	2017-04-26-12:00	20170426
2017042614	2017-04-26-14:00	20170426
2017042616	2017-04-26-16:00	20170426
2017042618	2017-04-26-18:00	20170426
2017042620	2017-04-26-20:00	20170426
2017042622	2017-04-26-22:00	20170426
2017052600	2017-05-26-00:00	20170526
2017052602	2017-05-26-02:00	20170526
2017052604	2017-05-26-04:00	20170526
2017052606	2017-05-26-06:00	20170526
2017052608	2017-05-26-08:00	20170526
2017052610	2017-05-26-10:00	20170526
2017052612	2017-05-26-12:00	20170526
2017052614	2017-05-26-14:00	20170526
2017052616	2017-05-26-16:00	20170526
2017052618	2017-05-26-18:00	20170526
2017052620	2017-05-26-20:00	20170526
2017052622	2017-05-26-22:00	20170526
2017062600	2017-06-26-00:00	20170626
